,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
12,13,95.63952206773683,401.79765973985195,97.95,70.85000000000001,"{'plane': 98.16, 'car': 98.96000000000001, 'bird': 97.34, 'cat': 96.44, 'deer': 97.56, 'dog': 97.24000000000001, 'frog': 98.02, 'horse': 98.32, 'ship': 98.74000000000001, 'truck': 98.72}","{'plane': 76.6, 'car': 88.1, 'bird': 58.199999999999996, 'cat': 45.6, 'deer': 64.1, 'dog': 65.0, 'frog': 77.7, 'horse': 77.4, 'ship': 76.0, 'truck': 79.80000000000001}"
13,14,76.58549167704768,395.92204225063324,98.41,71.13000000000001,"{'plane': 98.78, 'car': 98.94, 'bird': 97.7, 'cat': 97.5, 'deer': 98.3, 'dog': 97.66, 'frog': 98.6, 'horse': 98.8, 'ship': 98.98, 'truck': 98.83999999999999}","{'plane': 77.4, 'car': 83.39999999999999, 'bird': 59.4, 'cat': 54.300000000000004, 'deer': 59.9, 'dog': 62.0, 'frog': 80.4, 'horse': 73.2, 'ship': 80.7, 'truck': 80.60000000000001}"
14,15,62.479441684205085,400.13590654730797,98.72800000000001,71.63000000000001,"{'plane': 98.94, 'car': 98.98, 'bird': 98.6, 'cat': 98.11999999999999, 'deer': 98.44000000000001, 'dog': 98.18, 'frog': 98.88, 'horse': 98.83999999999999, 'ship': 99.2, 'truck': 99.1}","{'plane': 75.6, 'car': 86.6, 'bird': 59.3, 'cat': 57.099999999999994, 'deer': 64.2, 'dog': 58.9, 'frog': 80.0, 'horse': 74.5, 'ship': 82.19999999999999, 'truck': 77.9}"
15,16,49.43463676824467,404.8318717330694,99.05199999999999,71.61999999999999,"{'plane': 98.94, 'car': 99.44, 'bird': 98.78, 'cat': 98.52, 'deer': 98.92, 'dog': 98.98, 'frog': 99.22, 'horse': 99.33999999999999, 'ship': 99.14, 'truck': 99.24}","{'plane': 78.4, 'car': 85.1, 'bird': 57.4, 'cat': 49.3, 'deer': 64.1, 'dog': 66.8, 'frog': 78.2, 'horse': 73.9, 'ship': 83.39999999999999, 'truck': 79.60000000000001}"
16,17,40.56241600884823,408.9209191650152,99.22999999999999,72.2,"{'plane': 99.4, 'car': 99.6, 'bird': 99.1, 'cat': 98.44000000000001, 'deer': 99.14, 'dog': 98.83999999999999, 'frog': 99.02, 'horse': 99.6, 'ship': 99.58, 'truck': 99.58}","{'plane': 77.9, 'car': 83.39999999999999, 'bird': 65.5, 'cat': 50.7, 'deer': 66.5, 'dog': 65.0, 'frog': 73.5, 'horse': 74.0, 'ship': 84.7, 'truck': 80.80000000000001}"
17,18,33.260525318211876,423.6367147564888,99.408,71.67999999999999,"{'plane': 99.36, 'car': 99.6, 'bird': 99.33999999999999, 'cat': 99.06, 'deer': 99.38, 'dog': 99.33999999999999, 'frog': 99.38, 'horse': 99.6, 'ship': 99.62, 'truck': 99.4}","{'plane': 73.9, 'car': 84.3, 'bird': 65.9, 'cat': 48.9, 'deer': 59.9, 'dog': 60.5, 'frog': 83.89999999999999, 'horse': 74.1, 'ship': 82.6, 'truck': 82.8}"
18,19,22.52384029564564,407.06317630410194,99.634,72.54,"{'plane': 99.64, 'car': 99.83999999999999, 'bird': 99.32, 'cat': 99.33999999999999, 'deer': 99.68, 'dog': 99.56, 'frog': 99.66000000000001, 'horse': 99.82, 'ship': 99.76, 'truck': 99.72}","{'plane': 77.8, 'car': 85.0, 'bird': 61.0, 'cat': 55.1, 'deer': 62.2, 'dog': 62.0, 'frog': 81.8, 'horse': 74.0, 'ship': 83.1, 'truck': 83.39999999999999}"
19,20,14.956685948098311,413.41832649707794,99.778,72.84,"{'plane': 99.76, 'car': 99.8, 'bird': 99.64, 'cat': 99.76, 'deer': 99.66000000000001, 'dog': 99.78, 'frog': 99.86, 'horse': 99.72, 'ship': 99.86, 'truck': 99.94}","{'plane': 78.9, 'car': 84.5, 'bird': 58.599999999999994, 'cat': 52.7, 'deer': 68.60000000000001, 'dog': 61.4, 'frog': 80.10000000000001, 'horse': 74.9, 'ship': 84.7, 'truck': 84.0}"
20,21,16.62523529405007,414.82495798170567,99.724,72.41,"{'plane': 99.62, 'car': 99.78, 'bird': 99.74, 'cat': 99.52, 'deer': 99.78, 'dog': 99.72, 'frog': 99.74, 'horse': 99.76, 'ship': 99.76, 'truck': 99.82}","{'plane': 80.80000000000001, 'car': 86.5, 'bird': 60.9, 'cat': 56.599999999999994, 'deer': 63.6, 'dog': 56.39999999999999, 'frog': 80.2, 'horse': 76.3, 'ship': 80.10000000000001, 'truck': 82.69999999999999}"
21,22,14.535494005147484,420.4011670053005,99.792,72.57000000000001,"{'plane': 99.72, 'car': 99.9, 'bird': 99.78, 'cat': 99.82, 'deer': 99.68, 'dog': 99.66000000000001, 'frog': 99.9, 'horse': 99.86, 'ship': 99.78, 'truck': 99.82}","{'plane': 75.9, 'car': 89.5, 'bird': 59.599999999999994, 'cat': 51.2, 'deer': 64.3, 'dog': 61.6, 'frog': 80.4, 'horse': 78.60000000000001, 'ship': 83.1, 'truck': 81.5}"
