,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
12,13,89.99734099884517,398.1825680434704,98.002,71.97,"{'plane': 98.3, 'car': 98.82, 'bird': 97.44, 'cat': 96.64, 'deer': 97.6, 'dog': 97.14, 'frog': 98.4, 'horse': 98.2, 'ship': 98.72, 'truck': 98.76}","{'plane': 81.0, 'car': 83.6, 'bird': 59.699999999999996, 'cat': 48.0, 'deer': 67.2, 'dog': 66.5, 'frog': 77.5, 'horse': 74.6, 'ship': 78.5, 'truck': 83.1}"
13,14,75.447232398903,387.17183773219585,98.414,73.61,"{'plane': 98.44000000000001, 'car': 99.11999999999999, 'bird': 97.52, 'cat': 97.56, 'deer': 98.4, 'dog': 97.8, 'frog': 98.7, 'horse': 98.7, 'ship': 98.83999999999999, 'truck': 99.06}","{'plane': 77.10000000000001, 'car': 86.5, 'bird': 64.1, 'cat': 49.2, 'deer': 66.60000000000001, 'dog': 60.3, 'frog': 83.39999999999999, 'horse': 79.7, 'ship': 85.8, 'truck': 83.39999999999999}"
14,15,60.8013044243562,404.36368295550346,98.77,72.86,"{'plane': 98.82, 'car': 99.16, 'bird': 98.34, 'cat': 98.14, 'deer': 98.48, 'dog': 98.44000000000001, 'frog': 99.06, 'horse': 99.14, 'ship': 99.03999999999999, 'truck': 99.08}","{'plane': 81.69999999999999, 'car': 87.7, 'bird': 60.4, 'cat': 50.6, 'deer': 71.89999999999999, 'dog': 60.699999999999996, 'frog': 79.7, 'horse': 74.9, 'ship': 80.80000000000001, 'truck': 80.2}"
15,16,52.21084806887666,403.73379349708557,98.92,72.98,"{'plane': 98.98, 'car': 99.53999999999999, 'bird': 98.64, 'cat': 98.1, 'deer': 98.68, 'dog': 98.6, 'frog': 98.98, 'horse': 99.14, 'ship': 99.33999999999999, 'truck': 99.2}","{'plane': 77.8, 'car': 88.2, 'bird': 61.3, 'cat': 53.900000000000006, 'deer': 67.2, 'dog': 62.9, 'frog': 78.60000000000001, 'horse': 76.2, 'ship': 83.5, 'truck': 80.2}"
16,17,35.243984731379896,401.33889934420586,99.29599999999999,73.13,"{'plane': 99.38, 'car': 99.6, 'bird': 99.11999999999999, 'cat': 98.92, 'deer': 99.1, 'dog': 99.2, 'frog': 99.58, 'horse': 99.26, 'ship': 99.44, 'truck': 99.36}","{'plane': 80.4, 'car': 87.7, 'bird': 64.9, 'cat': 53.300000000000004, 'deer': 64.5, 'dog': 63.6, 'frog': 78.60000000000001, 'horse': 75.6, 'ship': 81.89999999999999, 'truck': 80.80000000000001}"
17,18,36.91783222835511,404.81198005378246,99.264,73.49,"{'plane': 99.28, 'car': 99.56, 'bird': 98.78, 'cat': 99.02, 'deer': 99.06, 'dog': 99.1, 'frog': 99.56, 'horse': 99.33999999999999, 'ship': 99.38, 'truck': 99.56}","{'plane': 80.2, 'car': 86.4, 'bird': 65.0, 'cat': 46.2, 'deer': 67.80000000000001, 'dog': 63.3, 'frog': 78.9, 'horse': 77.3, 'ship': 85.0, 'truck': 84.8}"
18,19,29.952873717615148,406.16964849829674,99.388,73.49,"{'plane': 99.46000000000001, 'car': 99.78, 'bird': 99.14, 'cat': 98.94, 'deer': 99.22, 'dog': 99.14, 'frog': 99.5, 'horse': 99.4, 'ship': 99.6, 'truck': 99.7}","{'plane': 79.10000000000001, 'car': 84.2, 'bird': 56.599999999999994, 'cat': 56.99999999999999, 'deer': 68.4, 'dog': 60.099999999999994, 'frog': 83.6, 'horse': 74.9, 'ship': 85.8, 'truck': 85.2}"
19,20,25.891687292882125,410.25640474259853,99.516,73.61,"{'plane': 99.56, 'car': 99.58, 'bird': 99.2, 'cat': 99.36, 'deer': 99.38, 'dog': 99.44, 'frog': 99.62, 'horse': 99.58, 'ship': 99.76, 'truck': 99.68}","{'plane': 80.5, 'car': 90.60000000000001, 'bird': 63.800000000000004, 'cat': 47.9, 'deer': 71.0, 'dog': 64.7, 'frog': 81.39999999999999, 'horse': 78.3, 'ship': 83.7, 'truck': 74.2}"
20,21,17.68406912682258,405.78411054611206,99.676,74.06,"{'plane': 99.7, 'car': 99.82, 'bird': 99.56, 'cat': 99.5, 'deer': 99.68, 'dog': 99.52, 'frog': 99.74, 'horse': 99.74, 'ship': 99.88, 'truck': 99.62}","{'plane': 80.30000000000001, 'car': 86.5, 'bird': 58.099999999999994, 'cat': 49.4, 'deer': 71.6, 'dog': 64.9, 'frog': 84.1, 'horse': 78.10000000000001, 'ship': 84.6, 'truck': 83.0}"
21,22,13.466640941856895,403.18888702988625,99.79,74.02,"{'plane': 99.9, 'car': 99.86, 'bird': 99.7, 'cat': 99.66000000000001, 'deer': 99.76, 'dog': 99.7, 'frog': 99.82, 'horse': 99.76, 'ship': 99.9, 'truck': 99.83999999999999}","{'plane': 76.5, 'car': 87.5, 'bird': 66.2, 'cat': 52.800000000000004, 'deer': 64.3, 'dog': 63.9, 'frog': 82.6, 'horse': 79.60000000000001, 'ship': 85.1, 'truck': 81.69999999999999}"
